Seq. ID.	Class	AMP Probability
PROTEIN_3869	AMP	0.71
PROTEIN_3870	AMP	0.83
PROTEIN_3871	AMP	0.94
PROTEIN_3872	NAMP	0.15
PROTEIN_3873	NAMP	0.00
PROTEIN_3874	AMP	0.82
PROTEIN_3875	AMP	0.64
PROTEIN_3876	NAMP	0.32
PROTEIN_3877	AMP	0.94
PROTEIN_3878	AMP	0.97
PROTEIN_3879	AMP	0.95
PROTEIN_3880	AMP	0.78
PROTEIN_3881	NAMP	0.00
PROTEIN_3882	NAMP	0.33
PROTEIN_3883	NAMP	0.37
PROTEIN_3884	AMP	0.68
PROTEIN_3885	NAMP	0.14
PROTEIN_3886	NAMP	0.15
PROTEIN_3887	AMP	0.87
PROTEIN_3888	AMP	0.66
PROTEIN_3889	AMP	0.85
PROTEIN_3890	AMP	0.93
PROTEIN_3891	AMP	0.61
PROTEIN_3892	AMP	0.84
PROTEIN_3893	AMP	0.91
PROTEIN_3894	NAMP	0.11
PROTEIN_3895	AMP	0.92
PROTEIN_3896	NAMP	0.49
PROTEIN_3897	AMP	0.75
PROTEIN_3898	NAMP	0.38
PROTEIN_3899	AMP	0.99
PROTEIN_3900	NAMP	0.07
PROTEIN_3901	AMP	0.97
PROTEIN_3902	AMP	0.64
PROTEIN_3903	AMP	0.98
PROTEIN_3904	AMP	0.60
PROTEIN_3905	NAMP	0.36
PROTEIN_3906	AMP	1.00
PROTEIN_3907	NAMP	0.29
PROTEIN_3908	AMP	0.89
PROTEIN_3909	NAMP	0.39
PROTEIN_3910	AMP	0.89
PROTEIN_3911	NAMP	0.14
PROTEIN_3912	AMP	0.93
PROTEIN_3913	NAMP	0.00
PROTEIN_3914	AMP	0.55
PROTEIN_3915	NAMP	0.39
PROTEIN_3916	NAMP	0.22
PROTEIN_3917	AMP	0.62
PROTEIN_3918	AMP	0.54
PROTEIN_3919	NAMP	0.09
PROTEIN_3920	NAMP	0.43
PROTEIN_3921	NAMP	0.46
PROTEIN_3922	AMP	0.98
PROTEIN_3923	NAMP	0.30
PROTEIN_3924	AMP	0.56
PROTEIN_3925	NAMP	0.29
PROTEIN_3926	AMP	0.58
PROTEIN_3927	AMP	0.95
PROTEIN_3928	AMP	0.89
PROTEIN_3929	AMP	0.82
PROTEIN_3930	NAMP	0.00
PROTEIN_3931	AMP	0.80
PROTEIN_3932	AMP	0.72
PROTEIN_3933	AMP	0.90
PROTEIN_3934	AMP	0.75
PROTEIN_3935	AMP	0.70
PROTEIN_3936	NAMP	0.08
PROTEIN_3937	AMP	1.00
PROTEIN_3938	NAMP	0.45
PROTEIN_3939	AMP	0.63
PROTEIN_3940	NAMP	0.36
PROTEIN_3941	AMP	0.84
PROTEIN_3942	NAMP	0.39
PROTEIN_3943	AMP	0.61
PROTEIN_3944	AMP	0.98
PROTEIN_3945	AMP	0.57
PROTEIN_3946	AMP	1.00
PROTEIN_3947	AMP	0.97
PROTEIN_3948	AMP	0.83
PROTEIN_3949	AMP	0.93
PROTEIN_3950	AMP	0.75
PROTEIN_3951	AMP	0.92
PROTEIN_3952	AMP	0.88
PROTEIN_3953	AMP	0.93
PROTEIN_3954	AMP	0.84
PROTEIN_3955	AMP	0.92
PROTEIN_3956	AMP	0.67
PROTEIN_3957	AMP	0.99
PROTEIN_3958	NAMP	0.00
PROTEIN_3959	AMP	0.82
PROTEIN_3960	AMP	0.88
PROTEIN_3961	AMP	0.83
PROTEIN_3962	AMP	0.74
PROTEIN_3963	AMP	0.71
PROTEIN_3964	AMP	0.86
PROTEIN_3965	NAMP	0.29
PROTEIN_3966	AMP	0.61
PROTEIN_3967	NAMP	0.32
PROTEIN_3968	NAMP	0.44
PROTEIN_3969	AMP	0.82
PROTEIN_3970	AMP	0.78
PROTEIN_3971	NAMP	0.01
PROTEIN_3972	NAMP	0.03
PROTEIN_3973	AMP	0.80
PROTEIN_3974	NAMP	0.01
PROTEIN_3975	AMP	0.99
PROTEIN_3976	AMP	0.58
PROTEIN_3977	AMP	0.95
PROTEIN_3978	AMP	0.67
PROTEIN_3979	AMP	0.99
PROTEIN_3980	AMP	0.98
PROTEIN_3981	AMP	0.81
PROTEIN_3982	AMP	0.96
PROTEIN_3983	NAMP	0.17
PROTEIN_3984	AMP	0.79
PROTEIN_3985	NAMP	0.26
PROTEIN_3986	AMP	0.83
PROTEIN_3987	AMP	0.91
PROTEIN_3988	AMP	0.97
PROTEIN_3989	AMP	0.50
PROTEIN_3990	AMP	0.99
PROTEIN_3991	AMP	0.70
PROTEIN_3992	AMP	0.63
PROTEIN_3993	NAMP	0.03
PROTEIN_3994	NAMP	0.00
PROTEIN_3995	AMP	0.99
PROTEIN_3996	AMP	0.80
PROTEIN_3997	AMP	0.99
PROTEIN_3998	AMP	0.62
PROTEIN_3999	NAMP	0.28
PROTEIN_4000	AMP	0.94
PROTEIN_4001	NAMP	0.14
PROTEIN_4002	AMP	0.51
PROTEIN_4003	AMP	0.95
PROTEIN_4004	AMP	0.99
PROTEIN_4005	AMP	0.90
PROTEIN_4006	AMP	0.98
PROTEIN_4007	AMP	0.70
PROTEIN_4008	NAMP	0.10
PROTEIN_4009	AMP	0.96
PROTEIN_4010	NAMP	0.23
PROTEIN_4011	AMP	0.53
PROTEIN_4012	AMP	0.98
PROTEIN_4013	AMP	0.98
PROTEIN_4014	NAMP	0.42
PROTEIN_4015	AMP	0.96
PROTEIN_4016	AMP	1.00
PROTEIN_4017	NAMP	0.31
PROTEIN_4018	AMP	0.85
PROTEIN_4019	NAMP	0.00
PROTEIN_4020	AMP	0.86
PROTEIN_4021	AMP	0.69
PROTEIN_4022	AMP	0.92
PROTEIN_4023	AMP	0.65
PROTEIN_4024	AMP	0.88
PROTEIN_4025	AMP	0.96
PROTEIN_4026	AMP	0.89
PROTEIN_4027	AMP	0.98
PROTEIN_4028	AMP	0.94
PROTEIN_4029	AMP	0.99
PROTEIN_4030	AMP	0.70
PROTEIN_4031	NAMP	0.02
PROTEIN_4032	AMP	0.90
PROTEIN_4033	AMP	0.99
PROTEIN_4034	AMP	0.78
PROTEIN_4035	NAMP	0.01
PROTEIN_4036	AMP	0.81
PROTEIN_4037	NAMP	0.01
PROTEIN_4038	AMP	0.95
PROTEIN_4039	AMP	0.89
PROTEIN_4040	AMP	0.70
PROTEIN_4041	AMP	0.80
PROTEIN_4042	NAMP	0.13
PROTEIN_4043	AMP	0.56
PROTEIN_4044	AMP	0.57
PROTEIN_4045	AMP	0.66
PROTEIN_4046	AMP	0.61
PROTEIN_4047	AMP	0.98
PROTEIN_4048	NAMP	0.29
PROTEIN_4049	AMP	0.98
PROTEIN_4050	NAMP	0.04
PROTEIN_4051	AMP	0.68
PROTEIN_4052	NAMP	0.24
PROTEIN_4053	NAMP	0.01
PROTEIN_4054	AMP	0.74
PROTEIN_4055	AMP	0.84
PROTEIN_4056	NAMP	0.14
PROTEIN_4057	AMP	0.52
PROTEIN_4058	AMP	0.89
PROTEIN_4059	NAMP	0.37
PROTEIN_4060	AMP	0.68
PROTEIN_4061	AMP	0.99
PROTEIN_4062	NAMP	0.21
PROTEIN_4063	AMP	0.77
PROTEIN_4064	AMP	0.85
PROTEIN_4065	NAMP	0.06
PROTEIN_4066	AMP	0.93
PROTEIN_4067	AMP	0.79
PROTEIN_4068	AMP	0.72
PROTEIN_4069	AMP	0.81
PROTEIN_4070	AMP	0.88
PROTEIN_4071	AMP	0.82
PROTEIN_4072	AMP	0.96
PROTEIN_4073	AMP	0.97
PROTEIN_4074	AMP	0.96
PROTEIN_4075	NAMP	0.24
PROTEIN_4076	AMP	0.86
PROTEIN_4077	NAMP	0.23
PROTEIN_4078	NAMP	0.01
PROTEIN_4079	NAMP	0.29
PROTEIN_4080	NAMP	0.26
PROTEIN_4081	AMP	0.63
PROTEIN_4082	AMP	0.91
PROTEIN_4083	AMP	0.95
PROTEIN_4084	AMP	0.97
PROTEIN_4085	AMP	0.89
PROTEIN_4086	AMP	0.94
PROTEIN_4087	AMP	0.91
PROTEIN_4088	AMP	0.78
PROTEIN_4089	AMP	0.86
PROTEIN_4090	AMP	0.52
PROTEIN_4091	AMP	0.65
PROTEIN_4092	AMP	0.73
PROTEIN_4093	AMP	0.70
PROTEIN_4094	AMP	0.67
PROTEIN_4095	AMP	0.63
PROTEIN_4096	AMP	0.55
PROTEIN_4097	AMP	0.92
PROTEIN_4098	AMP	0.96
PROTEIN_4099	AMP	0.96
PROTEIN_4100	AMP	1.00
PROTEIN_4101	AMP	0.99
PROTEIN_4102	NAMP	0.48
PROTEIN_4103	NAMP	0.05
PROTEIN_4104	AMP	0.90
PROTEIN_4105	AMP	0.97
PROTEIN_4106	AMP	0.97
PROTEIN_4107	AMP	0.83
PROTEIN_4108	AMP	0.95
PROTEIN_4109	AMP	0.87
PROTEIN_4110	AMP	0.75
PROTEIN_4111	AMP	0.83
PROTEIN_4112	AMP	0.99
PROTEIN_4113	NAMP	0.11
PROTEIN_4114	AMP	0.95
PROTEIN_4115	AMP	0.88
PROTEIN_4116	AMP	0.64
PROTEIN_4117	NAMP	0.38
PROTEIN_4118	NAMP	0.17
PROTEIN_4119	AMP	0.84
PROTEIN_4120	NAMP	0.03
PROTEIN_4121	NAMP	0.13
PROTEIN_4122	AMP	0.96
PROTEIN_4123	AMP	0.68
PROTEIN_4124	AMP	0.89
PROTEIN_4125	AMP	0.97
PROTEIN_4126	NAMP	0.42
PROTEIN_4127	AMP	0.88
PROTEIN_4128	NAMP	0.49
PROTEIN_4129	AMP	0.65
PROTEIN_4130	AMP	0.82
PROTEIN_4131	AMP	0.95
PROTEIN_4132	AMP	0.86
PROTEIN_4133	AMP	0.83
PROTEIN_4134	NAMP	0.48
PROTEIN_4135	AMP	0.61
PROTEIN_4136	NAMP	0.47
PROTEIN_4137	NAMP	0.01
PROTEIN_4138	NAMP	0.11
PROTEIN_4139	AMP	0.52
PROTEIN_4140	AMP	0.50
PROTEIN_4141	NAMP	0.31
PROTEIN_4142	AMP	0.59
PROTEIN_4143	NAMP	0.41
PROTEIN_4144	AMP	0.59
PROTEIN_4145	NAMP	0.01
PROTEIN_4146	NAMP	0.04
PROTEIN_4147	NAMP	0.27
PROTEIN_4148	AMP	0.89
PROTEIN_4149	NAMP	0.00
PROTEIN_4150	NAMP	0.35
PROTEIN_4151	NAMP	0.32
PROTEIN_4152	AMP	0.95
PROTEIN_4153	AMP	0.99
PROTEIN_4154	NAMP	0.15
PROTEIN_4155	AMP	0.53
PROTEIN_4156	AMP	0.81
PROTEIN_4157	AMP	0.96
PROTEIN_4158	NAMP	0.00
PROTEIN_4159	AMP	0.98
PROTEIN_4160	AMP	0.97
PROTEIN_4161	NAMP	0.49
PROTEIN_4162	AMP	0.97
PROTEIN_4163	AMP	0.71
PROTEIN_4164	NAMP	0.38
PROTEIN_4165	AMP	0.66
PROTEIN_4166	AMP	0.99
PROTEIN_4167	NAMP	0.20
PROTEIN_4168	AMP	0.96
PROTEIN_4169	NAMP	0.00
PROTEIN_4170	AMP	0.91
PROTEIN_4171	AMP	0.86
PROTEIN_4172	AMP	0.68
PROTEIN_4173	NAMP	0.07
PROTEIN_4174	NAMP	0.25
PROTEIN_4175	AMP	0.94
PROTEIN_4176	AMP	0.87
PROTEIN_4177	NAMP	0.00
PROTEIN_4178	AMP	0.97
PROTEIN_4179	AMP	0.51
PROTEIN_4180	AMP	0.89
PROTEIN_4181	AMP	0.95
PROTEIN_4182	AMP	0.77
PROTEIN_4183	NAMP	0.31
PROTEIN_4184	AMP	0.76
PROTEIN_4185	NAMP	0.01
PROTEIN_4186	AMP	0.70
PROTEIN_4187	AMP	0.76
PROTEIN_4188	AMP	0.93
PROTEIN_4189	AMP	0.69
PROTEIN_4190	NAMP	0.05
PROTEIN_4191	AMP	0.79
PROTEIN_4192	NAMP	0.01
PROTEIN_4193	AMP	0.92
PROTEIN_4194	NAMP	0.04
PROTEIN_4195	NAMP	0.02
PROTEIN_4196	NAMP	0.42
PROTEIN_4197	AMP	0.59
PROTEIN_4198	AMP	0.70
PROTEIN_4199	NAMP	0.03
PROTEIN_4200	AMP	0.88
PROTEIN_4201	AMP	0.99
PROTEIN_4202	AMP	0.99
PROTEIN_4203	AMP	0.56
PROTEIN_4204	AMP	0.68
PROTEIN_4205	AMP	0.87
PROTEIN_4206	NAMP	0.45
PROTEIN_4207	NAMP	0.09
PROTEIN_4208	AMP	0.87
PROTEIN_4209	AMP	0.99
PROTEIN_4210	AMP	0.93
PROTEIN_4211	AMP	0.72
PROTEIN_4212	AMP	0.94
PROTEIN_4213	AMP	0.78
PROTEIN_4214	AMP	0.77
PROTEIN_4215	AMP	0.54
PROTEIN_4216	AMP	0.64
PROTEIN_4217	NAMP	0.03
PROTEIN_4218	AMP	0.55
PROTEIN_4219	AMP	0.79
PROTEIN_4220	AMP	0.98
PROTEIN_4221	AMP	0.56
PROTEIN_4222	NAMP	0.07
PROTEIN_4223	NAMP	0.24
PROTEIN_4224	AMP	0.85
PROTEIN_4225	NAMP	0.26
PROTEIN_4226	NAMP	0.05
PROTEIN_4227	NAMP	0.43
PROTEIN_4228	NAMP	0.05
PROTEIN_4229	AMP	0.94
PROTEIN_4230	NAMP	0.47
PROTEIN_4231	AMP	0.55
PROTEIN_4232	AMP	0.86
PROTEIN_4233	AMP	0.97
PROTEIN_4234	NAMP	0.01
PROTEIN_4235	NAMP	0.04
PROTEIN_4236	AMP	0.52
PROTEIN_4237	AMP	0.56
PROTEIN_4238	NAMP	0.03
PROTEIN_4239	AMP	0.78
PROTEIN_4240	AMP	0.83
PROTEIN_4241	NAMP	0.32
PROTEIN_4242	AMP	0.97
PROTEIN_4243	AMP	0.83
PROTEIN_4244	AMP	0.57
PROTEIN_4245	AMP	0.92
PROTEIN_4246	AMP	0.82
PROTEIN_4247	AMP	0.89
PROTEIN_4248	AMP	0.94
PROTEIN_4249	AMP	1.00
PROTEIN_4250	NAMP	0.03
PROTEIN_4251	AMP	0.92
PROTEIN_4252	AMP	0.93
PROTEIN_4253	AMP	0.73
PROTEIN_4254	AMP	0.76
PROTEIN_4255	AMP	0.71
PROTEIN_4256	NAMP	0.28
PROTEIN_4257	AMP	0.75
PROTEIN_4258	NAMP	0.32
PROTEIN_4259	AMP	0.92
PROTEIN_4260	NAMP	0.22
PROTEIN_4261	AMP	0.98
PROTEIN_4262	AMP	0.98
PROTEIN_4263	AMP	0.85
PROTEIN_4264	AMP	0.61
PROTEIN_4265	AMP	0.87
PROTEIN_4266	AMP	0.64
PROTEIN_4267	NAMP	0.15
PROTEIN_4268	NAMP	0.07
PROTEIN_4269	NAMP	0.35
PROTEIN_4270	AMP	0.96
PROTEIN_4271	NAMP	0.24
PROTEIN_4272	NAMP	0.12
PROTEIN_4273	AMP	0.91
PROTEIN_4274	AMP	0.98
PROTEIN_4275	AMP	0.85
PROTEIN_4276	AMP	0.64
PROTEIN_4277	NAMP	0.48
PROTEIN_4278	AMP	0.95
PROTEIN_4279	AMP	0.68
PROTEIN_4280	AMP	0.82
PROTEIN_4281	AMP	0.88
PROTEIN_4282	AMP	0.94
PROTEIN_4283	NAMP	0.06
PROTEIN_4284	AMP	0.83
PROTEIN_4285	NAMP	0.18
PROTEIN_4286	AMP	0.53
PROTEIN_4287	NAMP	0.42
PROTEIN_4288	NAMP	0.08
PROTEIN_4289	AMP	0.91
PROTEIN_4290	NAMP	0.00
PROTEIN_4291	NAMP	0.28
PROTEIN_4292	AMP	0.92
PROTEIN_4293	NAMP	0.05
PROTEIN_4294	AMP	0.80
PROTEIN_4295	AMP	0.96
PROTEIN_4296	AMP	0.99
PROTEIN_4297	AMP	0.84
PROTEIN_4298	NAMP	0.00
PROTEIN_4299	AMP	0.95
PROTEIN_4300	NAMP	0.05
PROTEIN_4301	AMP	0.75
PROTEIN_4302	NAMP	0.00
PROTEIN_4303	AMP	0.83
PROTEIN_4304	AMP	0.92
PROTEIN_4305	AMP	0.98
PROTEIN_4306	NAMP	0.12
PROTEIN_4307	NAMP	0.13
PROTEIN_4308	AMP	0.95
PROTEIN_4309	AMP	0.99
PROTEIN_4310	AMP	0.88
PROTEIN_4311	AMP	0.88
PROTEIN_4312	AMP	0.88
PROTEIN_4313	AMP	0.91
PROTEIN_4314	AMP	0.93
PROTEIN_4315	NAMP	0.11
PROTEIN_4316	NAMP	0.41
PROTEIN_4317	AMP	0.84
PROTEIN_4318	AMP	0.78
PROTEIN_4319	NAMP	0.35
PROTEIN_4320	AMP	0.92
PROTEIN_4321	NAMP	0.01
PROTEIN_4322	NAMP	0.07
PROTEIN_4323	AMP	0.87
PROTEIN_4324	AMP	0.84
PROTEIN_4325	NAMP	0.49
PROTEIN_4326	NAMP	0.39
PROTEIN_4327	AMP	0.91
PROTEIN_4328	AMP	0.91
PROTEIN_4329	AMP	0.83
PROTEIN_4330	AMP	0.99
PROTEIN_4331	NAMP	0.08
PROTEIN_4332	AMP	0.65
PROTEIN_4333	AMP	0.88
PROTEIN_4334	NAMP	0.45
PROTEIN_4335	AMP	0.72
PROTEIN_4336	NAMP	0.34
PROTEIN_4337	NAMP	0.21
PROTEIN_4338	AMP	0.94
PROTEIN_4339	AMP	0.74
PROTEIN_4340	AMP	0.55
PROTEIN_4341	AMP	0.95
PROTEIN_4342	NAMP	0.32
PROTEIN_4343	NAMP	0.07
PROTEIN_4344	AMP	0.68
PROTEIN_4345	NAMP	0.37
PROTEIN_4346	NAMP	0.43
PROTEIN_4347	AMP	0.95
PROTEIN_4348	AMP	0.98
PROTEIN_4349	NAMP	0.44
PROTEIN_4350	AMP	0.85
PROTEIN_4351	AMP	0.84
PROTEIN_4352	AMP	0.88
PROTEIN_4353	AMP	0.95
PROTEIN_4354	AMP	0.77
PROTEIN_4355	AMP	0.80
PROTEIN_4356	AMP	0.91
PROTEIN_4357	AMP	1.00
PROTEIN_4358	AMP	0.98
PROTEIN_4359	AMP	0.91
PROTEIN_4360	AMP	0.67
PROTEIN_4361	AMP	0.76
PROTEIN_4362	NAMP	0.04
PROTEIN_4363	AMP	0.84
PROTEIN_4364	NAMP	0.45
PROTEIN_4365	AMP	0.80
PROTEIN_4366	NAMP	0.00
PROTEIN_4367	AMP	0.59
PROTEIN_4368	AMP	0.91
PROTEIN_4369	AMP	0.92
PROTEIN_4370	AMP	0.63
PROTEIN_4371	AMP	0.86
PROTEIN_4372	NAMP	0.44
PROTEIN_4373	AMP	0.85
PROTEIN_4374	AMP	0.60
PROTEIN_4375	AMP	0.68
PROTEIN_4376	NAMP	0.41
PROTEIN_4377	AMP	0.74
PROTEIN_4378	NAMP	0.42
PROTEIN_4379	AMP	0.73
PROTEIN_4380	NAMP	0.36
PROTEIN_4381	AMP	0.96
PROTEIN_4382	AMP	0.96
PROTEIN_4383	AMP	0.96
PROTEIN_4384	NAMP	0.18
PROTEIN_4385	AMP	0.96
PROTEIN_4386	AMP	0.87
PROTEIN_4387	AMP	0.95
PROTEIN_4388	NAMP	0.28
PROTEIN_4389	NAMP	0.03
PROTEIN_4390	AMP	0.74
PROTEIN_4391	NAMP	0.21
PROTEIN_4392	AMP	0.95
PROTEIN_4393	AMP	0.92
PROTEIN_4394	NAMP	0.02
PROTEIN_4395	AMP	0.74
PROTEIN_4396	AMP	0.83
PROTEIN_4397	NAMP	0.01
PROTEIN_4398	AMP	0.95
PROTEIN_4399	NAMP	0.11
PROTEIN_4400	AMP	0.91
PROTEIN_4401	NAMP	0.15
PROTEIN_4402	AMP	0.81
PROTEIN_4403	NAMP	0.42
PROTEIN_4404	NAMP	0.02
PROTEIN_4405	AMP	0.98
PROTEIN_4406	AMP	0.60
PROTEIN_4407	AMP	0.96
PROTEIN_4408	NAMP	0.32
PROTEIN_4409	AMP	0.76
PROTEIN_4410	AMP	0.99
PROTEIN_4411	AMP	0.78
PROTEIN_4412	NAMP	0.32
PROTEIN_4413	AMP	0.93
PROTEIN_4414	AMP	0.91
PROTEIN_4415	AMP	0.81
PROTEIN_4416	AMP	0.98
PROTEIN_4417	AMP	0.88
PROTEIN_4418	AMP	0.96
PROTEIN_4419	AMP	0.96
PROTEIN_4420	AMP	0.93
PROTEIN_4421	AMP	0.70
PROTEIN_4422	NAMP	0.03
PROTEIN_4423	NAMP	0.23
PROTEIN_4424	NAMP	0.15
PROTEIN_4425	NAMP	0.29
PROTEIN_4426	AMP	0.85
PROTEIN_4427	NAMP	0.48
PROTEIN_4428	AMP	0.96
PROTEIN_4429	NAMP	0.43
PROTEIN_4430	AMP	0.59
PROTEIN_4431	AMP	0.97
PROTEIN_4432	AMP	0.95
PROTEIN_4433	AMP	0.52
PROTEIN_4434	AMP	0.98
PROTEIN_4435	AMP	0.92
PROTEIN_4436	NAMP	0.18
PROTEIN_4437	NAMP	0.33
PROTEIN_4438	AMP	0.91
PROTEIN_4439	AMP	0.84
PROTEIN_4440	NAMP	0.35
PROTEIN_4441	AMP	0.83
PROTEIN_4442	AMP	0.92
PROTEIN_4443	AMP	0.78
PROTEIN_4444	AMP	0.64
PROTEIN_4445	AMP	0.88
PROTEIN_4446	NAMP	0.44
PROTEIN_4447	NAMP	0.19
PROTEIN_4448	AMP	0.71
PROTEIN_4449	NAMP	0.20
PROTEIN_4450	NAMP	0.12
PROTEIN_4451	AMP	0.72
PROTEIN_4452	AMP	0.63
PROTEIN_4453	AMP	0.56
PROTEIN_4454	NAMP	0.11
PROTEIN_4455	AMP	0.79
PROTEIN_4456	AMP	0.94
PROTEIN_4457	AMP	0.63
PROTEIN_4458	NAMP	0.42
PROTEIN_4459	NAMP	0.19
PROTEIN_4460	AMP	0.54
PROTEIN_4461	AMP	0.80
PROTEIN_4462	AMP	0.97
PROTEIN_4463	NAMP	0.02
PROTEIN_4464	AMP	0.98
PROTEIN_4465	AMP	0.98
PROTEIN_4466	AMP	0.84
PROTEIN_4467	AMP	0.90
PROTEIN_4468	AMP	0.88
PROTEIN_4469	AMP	1.00
PROTEIN_4470	AMP	0.56
PROTEIN_4471	AMP	0.88
PROTEIN_4472	AMP	0.99
PROTEIN_4473	AMP	0.97
PROTEIN_4474	NAMP	0.27
PROTEIN_4475	AMP	0.64
PROTEIN_4476	AMP	0.66
PROTEIN_4477	AMP	0.74
PROTEIN_4478	AMP	0.91
PROTEIN_4479	AMP	0.93
PROTEIN_4480	AMP	0.66
PROTEIN_4481	AMP	0.98
PROTEIN_4482	AMP	0.88
PROTEIN_4483	AMP	0.75
PROTEIN_4484	NAMP	0.06
PROTEIN_4485	AMP	0.70
PROTEIN_4486	AMP	0.85
PROTEIN_4487	AMP	0.80
PROTEIN_4488	AMP	0.87
PROTEIN_4489	NAMP	0.43
PROTEIN_4490	AMP	0.88
PROTEIN_4491	AMP	0.77
PROTEIN_4492	NAMP	0.07
PROTEIN_4493	AMP	0.99
PROTEIN_4494	AMP	0.81
PROTEIN_4495	AMP	0.86
PROTEIN_4496	NAMP	0.19
PROTEIN_4497	AMP	0.97
PROTEIN_4498	AMP	0.63
PROTEIN_4499	AMP	0.98
PROTEIN_4500	AMP	0.94
PROTEIN_4501	NAMP	0.01
PROTEIN_4502	AMP	0.86
PROTEIN_4503	AMP	0.87
PROTEIN_4504	NAMP	0.31
PROTEIN_4505	AMP	0.81
PROTEIN_4506	NAMP	0.31
PROTEIN_4507	AMP	0.98
PROTEIN_4508	NAMP	0.48
PROTEIN_4509	AMP	0.90
PROTEIN_4510	NAMP	0.35
PROTEIN_4511	AMP	0.95
PROTEIN_4512	AMP	0.75
PROTEIN_4513	AMP	0.99
PROTEIN_4514	AMP	0.86
PROTEIN_4515	NAMP	0.04
PROTEIN_4516	AMP	0.90
PROTEIN_4517	NAMP	0.03
PROTEIN_4518	NAMP	0.40
PROTEIN_4519	NAMP	0.00
PROTEIN_4520	AMP	0.88
PROTEIN_4521	AMP	0.70
PROTEIN_4522	AMP	0.96
PROTEIN_4523	AMP	0.61
PROTEIN_4524	AMP	0.96
PROTEIN_4525	AMP	0.98
PROTEIN_4526	NAMP	0.21
PROTEIN_4527	NAMP	0.01
PROTEIN_4528	AMP	0.85
PROTEIN_4529	AMP	0.74
PROTEIN_4530	AMP	0.53
PROTEIN_4531	NAMP	0.16
PROTEIN_4532	AMP	0.98
PROTEIN_4533	AMP	0.90
PROTEIN_4534	AMP	0.99
PROTEIN_4535	NAMP	0.12
PROTEIN_4536	AMP	0.89
PROTEIN_4537	AMP	0.95
PROTEIN_4538	AMP	0.98
PROTEIN_4539	AMP	0.90
PROTEIN_4540	NAMP	0.44
PROTEIN_4541	AMP	0.76
PROTEIN_4542	NAMP	0.10
PROTEIN_4543	AMP	0.60
PROTEIN_4544	NAMP	0.14
PROTEIN_4545	AMP	0.97
PROTEIN_4546	AMP	0.71
PROTEIN_4547	NAMP	0.01
PROTEIN_4548	AMP	0.96
PROTEIN_4549	AMP	0.93
PROTEIN_4550	AMP	0.93
PROTEIN_4551	AMP	0.97
PROTEIN_4552	AMP	0.96
PROTEIN_4553	AMP	0.50
PROTEIN_4554	NAMP	0.12
PROTEIN_4555	NAMP	0.00
PROTEIN_4556	NAMP	0.01
PROTEIN_4557	AMP	0.95
PROTEIN_4558	AMP	0.90
PROTEIN_4559	AMP	0.97
PROTEIN_4560	NAMP	0.35
PROTEIN_4561	AMP	0.87
PROTEIN_4562	NAMP	0.43
PROTEIN_4563	NAMP	0.01
PROTEIN_4564	NAMP	0.36
PROTEIN_4565	NAMP	0.28
PROTEIN_4566	NAMP	0.14
PROTEIN_4567	AMP	0.66
PROTEIN_4568	AMP	0.55
PROTEIN_4569	NAMP	0.50
PROTEIN_4570	NAMP	0.45
PROTEIN_4571	AMP	0.87
PROTEIN_4572	AMP	0.88
PROTEIN_4573	AMP	0.65
PROTEIN_4574	NAMP	0.00
PROTEIN_4575	AMP	0.73
PROTEIN_4576	AMP	0.76
PROTEIN_4577	NAMP	0.35
PROTEIN_4578	AMP	0.66
PROTEIN_4579	AMP	0.77
PROTEIN_4580	AMP	0.99
PROTEIN_4581	AMP	0.94
PROTEIN_4582	AMP	0.90
PROTEIN_4583	AMP	0.85
PROTEIN_4584	AMP	0.84
PROTEIN_4585	AMP	0.95
PROTEIN_4586	AMP	0.86
PROTEIN_4587	NAMP	0.05
PROTEIN_4588	AMP	0.83
PROTEIN_4589	AMP	0.96
PROTEIN_4590	AMP	0.59
PROTEIN_4591	NAMP	0.01
PROTEIN_4592	AMP	0.96
PROTEIN_4593	NAMP	0.18
PROTEIN_4594	AMP	0.78
PROTEIN_4595	NAMP	0.42
PROTEIN_4596	AMP	0.97
PROTEIN_4597	AMP	0.59
PROTEIN_4598	NAMP	0.03
PROTEIN_4599	AMP	0.80
PROTEIN_4600	AMP	0.95
PROTEIN_4601	AMP	0.92
PROTEIN_4602	AMP	0.51
PROTEIN_4603	AMP	0.98
PROTEIN_4604	NAMP	0.07
PROTEIN_4605	AMP	0.69
PROTEIN_4606	NAMP	0.35
PROTEIN_4607	AMP	0.93
PROTEIN_4608	AMP	0.97
PROTEIN_4609	AMP	0.98
PROTEIN_4610	NAMP	0.01
PROTEIN_4611	AMP	0.76
PROTEIN_4612	AMP	0.67
PROTEIN_4613	AMP	0.94
PROTEIN_4614	AMP	0.79
PROTEIN_4615	AMP	0.84
PROTEIN_4616	NAMP	0.41
PROTEIN_4617	NAMP	0.07
PROTEIN_4618	AMP	0.68
PROTEIN_4619	AMP	0.88
PROTEIN_4620	AMP	0.82
PROTEIN_4621	AMP	0.57
PROTEIN_4622	NAMP	0.01
PROTEIN_4623	NAMP	0.39
PROTEIN_4624	AMP	0.60
PROTEIN_4625	AMP	0.50
PROTEIN_4626	AMP	0.94
PROTEIN_4627	AMP	0.91
PROTEIN_4628	AMP	0.97
PROTEIN_4629	NAMP	0.04
PROTEIN_4630	AMP	0.99
PROTEIN_4631	NAMP	0.00
